order_id,customer_id,order_date,revenue,units,region,product
ORD-000000,CUS-1003,2024-01-01,1038.58,20,North,Gadget C
ORD-000001,CUS-1002,2024-06-30,497.98,14,North,Gadget C
ORD-000002,CUS-1003,2024-01-01,1236.96,47,North,Gadget C
ORD-000003,CUS-1002,2024-01-01,618.68,34,West,Widget A
ORD-000004,CUS-1001,2024-01-01,1964.02,2,West,Widget A
ORD-000005,nan,2024-06-30,538.04,29,  Central  ,Widget A
ORD-000006,CUS-1003,2024-03-15,1607.93,22,West,Widget B
ORD-000007,CUS-1003,2024-01-01,1929.63,13,West,Widget A
ORD-000008,CUS-1001,2024-06-30,1004.09,39,  Central  ,Widget B
ORD-000009,CUS-1002,2024-01-01,406.51,34,South,Gadget C
ORD-000010,CUS-1001,not-a-date,1781.86,23,East,Widget A
ORD-000011,nan,2024-01-01,810.66,19,North,Gadget C
ORD-000012,CUS-1002,2024-01-01,1092.81,11,West,Widget B
ORD-000013,CUS-1003,2024-01-01,107.59,31,North,Widget B
ORD-000014,CUS-1002,2024-06-30,702.73,42,East,Widget A
ORD-000015,CUS-1001,2024-06-30,1116.35,33,South,Widget A
ORD-000016,CUS-1002,01/02/2024,1389.04,1,East,Widget B
ORD-000017,CUS-1001,2024-01-01,1902.78,33,West,Gadget C
ORD-000018,CUS-1003,2024-01-01,1171.16,22,East,Gadget C
ORD-000019,CUS-1002,2024-01-01,550.08,34,  Central  ,Gadget C
ORD-000020,CUS-1003,2024-01-01,1118.77,19,South,Widget A
ORD-000021,CUS-1001,2024-01-01,151.13,21,East,Widget B
ORD-000022,nan,01/02/2024,304.71,23,West,Widget B
ORD-000023,nan,01/02/2024,710.16,31,East,Widget A
ORD-000024,CUS-1003,2024-06-30,54.29,42,East,Widget B
ORD-000025,CUS-1001,2024-01-01,159.9,45,South,Widget A
ORD-000026,CUS-1002,2024-01-01,24.61,9,West,Widget B
ORD-000027,CUS-1001,01/02/2024,371.76,4,South,Gadget C
ORD-000028,CUS-1001,2024-01-01,1652.83,41,North,Gadget C
ORD-000029,CUS-1002,01/02/2024,709.29,39,North,Widget A
ORD-000030,CUS-1002,2024-03-15,1805.88,14,South,Widget B
ORD-000031,nan,2024-01-01,1771.03,7,South,Widget B
ORD-000032,CUS-1001,2024-01-01,-289.87,7,  Central  ,Widget B
ORD-000033,CUS-1001,not-a-date,431.62,23,East,Widget A
ORD-000034,CUS-1002,01/02/2024,691.36,14,  Central  ,Widget B
ORD-000035,CUS-1001,01/02/2024,941.98,9,East,Widget B
ORD-000036,CUS-1001,2024-03-15,868.87,40,West,Gadget C
ORD-000037,CUS-1002,01/02/2024,169.0,39,North,Gadget C
ORD-000038,CUS-1001,2024-01-01,485.39,26,East,Widget B
ORD-000039,CUS-1002,2024-03-15,1244.23,2,North,Widget A
ORD-000040,CUS-1002,2024-06-30,1356.31,7,North,Widget B
ORD-000041,CUS-1003,2024-01-01,735.66,35,North,Gadget C
ORD-000042,CUS-1002,2024-01-01,601.02,19,East,Widget A
ORD-000043,CUS-1001,2024-03-15,1176.27,20,East,Gadget C
ORD-000044,CUS-1003,01/02/2024,1330.3,40,South,Widget A
ORD-000045,CUS-1003,2024-01-01,1424.86,13,West,nan
ORD-000046,CUS-1001,01/02/2024,1623.81,48,  Central  ,nan
ORD-000047,CUS-1001,2024-03-15,1171.91,48,West,nan
ORD-000048,CUS-1002,01/02/2024,763.96,30,East,Widget A
ORD-000049,CUS-1001,2024-01-01,702.3,15,East,Gadget C
ORD-000050,CUS-1001,2024-01-01,78.34,49,South,Widget A
ORD-000051,CUS-1001,2024-01-01,838.56,11,South,Widget A
ORD-000052,CUS-1003,2024-06-30,1738.87,43,North,Widget A
ORD-000053,CUS-1002,01/02/2024,-60.0,22,  Central  ,Gadget C
ORD-000054,CUS-1002,2024-01-01,1190.2,43,East,Widget A
ORD-000055,CUS-1003,2024-06-30,455.39,15,South,Widget A
ORD-000056,CUS-1002,2024-01-01,-494.5,36,North,Widget B
